id_car,categorie,sous_categorie,nom_francais,description_darija,description_arabe,mots_cles_fr,codes_obd,niveau_gravite,action_recommandee,source,repair_cost_dzd,urgency
224,carburant,fuel,Black Smoke at Acceleration,dkhane khal ki tet7arrak|dkhane ki tomobile tsra3,دخان أسود عند التسارع|دخان عند سرعة السيارة,fumée noire à l'accélération|fumée noire en accélérant|Black Smoke at Acceleration,P0172,عالي,فحص وإصلاح Black Smoke at Acceleration — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
225,carburant,fuel,Black Smoke at Acceleration,dkhane khal ki tet7arrak|dkhane ki tomobile tsra3,دخان أسود عند التسارع|دخان عند سرعة السيارة,fumée noire à l'accélération|fumée noire en accélérant|Black Smoke at Acceleration,P0172,عالي,فحص وإصلاح Black Smoke at Acceleration — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
226,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
227,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
228,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
229,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
230,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
231,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
232,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
233,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
234,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
235,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
236,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
237,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
238,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
239,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
240,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
241,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
242,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
243,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
244,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
245,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
246,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
247,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
248,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
249,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
250,électricité,electrical,Intermittent Starting Problem,marra tebda marra la|starting meshi mlih,أحياناً تشتغل وأحياناً لا|مشكلة اشتغال متقطعة,démarrage aléatoire|parfois démarre parfois non|Intermittent Starting Problem,P0335,عالي,فحص وإصلاح Intermittent Starting Problem — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
251,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
252,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
253,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
254,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
255,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
256,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
257,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
258,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
259,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
260,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
261,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
262,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
263,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
264,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
265,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
266,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
267,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
268,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
269,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
270,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
271,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
272,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
273,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
274,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
275,freinage,brakes,Handbrake Not Holding,frein a main ma yehbsach|tomobile tet7arrak waqfa,الفرامل اليدوية لا تثبت|السيارة تتحرك حين الوقوف,frein à main ne tient pas|voiture bouge à l'arrêt|Handbrake Not Holding,C0268,متوسط,فحص وإصلاح Handbrake Not Holding — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
276,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
277,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
278,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
279,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
280,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
281,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
282,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
283,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
284,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
285,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
286,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
287,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
288,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
289,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
290,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
291,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
292,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
293,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
294,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
295,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
296,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
297,refroidissement,cooling,Coolant Smell Without Visible Leak,riha 7elwa bla maya ta7at tomobile|rihet maya bla fuite,رائحة حلوة بدون تسرب مرئي|رائحة سائل التبريد,odeur sucrée sans fuite visible|odeur liquide sans trace|Coolant Smell Without Visible Leak,P0128,متوسط,فحص وإصلاح Coolant Smell Without Visible Leak — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
